App Name,APK,Found
The Sims™ Mobile,com.ea.gp.simsmobile,True
Marble Race!,com.brian.marblerace,True
Hero Wars - Men’s Choice Epic Fantasy RPG,com.nexters.herowars,True
My Story: Choose Your Own Path,org.nanobit.mystory,True
Pixel Art: Color by Number,com.europosit.pixelcoloring,True
Dumb Ways to Die Original,com.popreach.dumbways,True
Mafia City,com.yottagames.mafiawar,True
Ball Mayhem!,com.clement.ballmayhem,True
My Talking Tom,com.outfit7.mytalkingtomfree,True
Game of Thrones: Conquest™,com.wb.goog.got.conquest,True
Sushi Bar,com.gpp.sushibar,True
Metal Slug Infinity : Idle Game,com.ekkorr.msf,False
Monster Legends,es.socialpoint.MonsterLegends,True
Line Puzzle: Pipe Art,com.bitmango.go.linepuzzlepipeart,True
NBA 2K Mobile Basketball,com.catdaddy.nba2km,False
Tap Color    Color by Number,com.pixel.art.coloring.by.number,True
Word Swipe,com.wordgame.puzzle.block.crush,True
Sausage Flip,com.sausageflip.game,True
Creative Destruction,com.titan.cd.gb,False
Fishdom,com.playrix.fishdomdd.gplay,True
PewDiePie's Tuber Simulator,com.outerminds.tubular,True
Amazing Fishing,com.machsystem.gawii,True
Dragon City,es.socialpoint.DragonCity,True
Find The Differences - Her Secret,com.puzzles.game.fd.two,True
Love Poly - New puzzle game,com.love.poly.puzzle.game,True
Soul Destiny,com.eyougame.mysh.en,False
Spark City,com.walmart.sparkCity,False
Infinite Word Search Puzzles,com.randomlogicgames.wordsearch,True
Temple Run,com.imangi.templerun,True
City Fighter vs Street Gang,com.soneraltincit.cityfightvsstreetgang,True
Pou,me.pou.app,True
TETRIS,com.ea.game.tetris2011_na,True
POP! Slots - Free Vegas Casino Slot Machine Games,com.playstudios.popslots,True
Monster High™ Beauty Shop: Fangtastic Fashion Game,com.crazylabs.monster.high,True
Disney Magic Kingdoms: Build Your Own Magical Park,com.gameloft.android.ANMP.GloftDYHM,True
Pooking - Billiards City,com.billiards.city.pool.nation.club,True
Crush Soft Things,com.hypermania.crush.soft.things,False
LEGO® Juniors Create & Cruise,com.lego.bricksmore,True
Hello Kitty Nail Salon,com.budgestudios.HelloKittyNailSalon,True
American Jail Break - Block Strike Survival Games,com.timuzsolutions.prisonbreaksurvivalgames,True
Dancing Line,com.cmplay.dancingline,True
Mahjong,com.fenghenda.mahjong,True
Sudoku.com,com.easybrain.sudoku.android,True
Lemmings: The Official Game,com.sadpuppy.lemmings,True
PBS KIDS Games,org.pbskids.gamesapp,True
Hill Climb Racing,com.fingersoft.hillclimb,True
Survival on Raft: Ocean Nomad - Simulator,ocean.nomad.survival.simulator,True
Toy Blast,net.peakgames.amy,True
Mini Golf King - Multiplayer Game,com.pnixgames.minigolfking,True
"Hotel Transylvania Adventures - Run, Jump, Build!",com.crazylabs.hotel.transylvania.adventure,True
Stack Fall,com.Stellar.StackFall,False
Dominoes,com.LoopGames.Domino,True
Age of Z,com.camelgames.aoz,True
Crossy Road,com.yodo1.crossyroad,True
Shadow Fight 3,com.nekki.shadowfight3,True
Spy Ninja Network - Chad & Vy,com.bbtv.cwc,True
Guns of Glory,com.diandian.gog,True
Block Puzzle Jewel,com.differencetenderwhite.skirt,True
Tycoon Casino™: Free Vegas Jackpot Slots,com.tw.tycoon.casino,True
CodyCross: Crossword Puzzles,com.fanatee.cody,True
Bike Race Free - Top Motorcycle Racing Games,com.topfreegames.bikeracefreeworld,True
Last Shelter: Survival,com.more.dayzsurvival.gp,True
Harry Potter: Hogwarts Mystery,com.tinyco.potter,True
Bubble Pop! Puzzle Game Legend,com.bitmango.go.bubblepop,True
Golf Clash,com.playdemic.golf.android,True
Word Cross - Word Cheese,com.playzeit.wordcheese,True
My Baby Unicorn - Virtual Pony Pet Care & Dress Up,com.tutotoons.app.mybabyunicorn.free,True
Spill It!,com.custom.spillit,True
Shooting World - Gun Fire,com.bello.shootingworld,True
Bio Blast - Infinity Battle: Shoot virus!,com.ihippogame.bioblast,False
Color Switch,com.colorswitch.switch2,True
Golf Battle,games.onebutton.golfbattle,True
Reversi,com.fgmt.reversi,True
MLB Tap Sports Baseball 2019,com.glu.baseball19,False
MaskGun Multiplayer FPS - Free Shooting Game,com.junesoftware.maskgun,True
Gun Fu: Stickman 2,com.dobsoftstudios.gunfustickman2,True
Basketball Stars,com.miniclip.basketballstars,True
Drag n Merge: Block Puzzle,com.metajoy.puzzlegame.dragnmerge,True
Galaxy Force - Falcon Squad,invaders.os.galaxy.space.shooter.attack.classic,True
Angry Birds Dream Blast,com.rovio.dream,True
MARVEL Contest of Champions,com.kabam.marvelbattle,True
Piano Solo - Magic Dream tiles game 4,com.amanotes.classicalpiano,True
Snake VS Block,com.bentostudio.ballsvsblocks,True
Light-It Up,com.crazylabs.light.it.up,True
Solitaire Classic,com.tripledot.solitaire,True
Castle Clash: Heroes of the Empire US,com.igg.castleclash,True
Girls X Battle 2,com.carolgames.moemoegirls,True
Gymnastics Superstar - Spin your way to gold!,com.cocoplay.gymnastic.star,True
Gun Idle,com.flexi.shoot,True
Street Racing 3D,com.combineinc.streetracing.driftthreeD,True
Vegas Crime Simulator,com.mgc.miami.crime.simulator.two,True
Save Cat,com.physics.sim.game.savecats,True
CSR Racing 2,com.naturalmotion.customstreetracer2,True
LifeAfter,com.netease.mrzhna,False
Geometry Dash SubZero,com.robtopx.geometrydashsubzero,True
World War Heroes: WW2 Shooter,com.gamedevltd.wwh,True
Idle Heroes,com.droidhang.ad,True
Bee Factory,com.gpp.beefactory,True
Slotomania™ Slots Casino: Vegas Slot Machine Games,air.com.playtika.slotomania,True
Children's doctor : dentist.,com.YovoGames.dentist,True
Clawee - A real claw machine,com.gigantic.clawee,False
Magic Jigsaw Puzzles,com.bandagames.mpuzzle.gp,True
Woody™ Puzzle,game.puzzle.woodypuzzle,True
Number Clash,com.noahcube.number,True
Last Day on Earth: Survival,zombie.survival.craft.z,True
Chuzzle 2,com.raptisoft.Chuzzle2,True
RealmCraft with Skins Export to Minecraft,com.tellurionmobile.realmcraft,True
Word Search,com.wordloco.wordchallenge,True
Smash Hit,com.mediocre.smashhit,True
Stick Shadow: War Fight,com.darkarrow.stickfighter.saiyan,True
LEGO® DC Mighty Micros,com.lego.superheroes.dccomicsmightymicros,True
Empires & Puzzles: RPG Quest,com.smallgiantgames.empires,True
Red Ball 4,com.FDGEntertainment.redball4.gp,True
Casino Slots: House of Fun™️ Free 777 Vegas Games,com.pacificinteractive.HouseOfFun,True
My Town : Beauty Contest - FREE,mytown.beautycontest.free,True
Hyperball Legends,com.hyperball.multiplayer,False
Looper!,com.kwalee.looper,True
Dune!,io.voodoo.dune,True
Cookie Jam - Match 3 Games & Free Puzzle Game,air.com.sgn.cookiejam.gp,True
Star Trek™ Fleet Command,com.scopely.startrek,True
Crossword Jam,in.playsimple.tripcross,True
Hot Wheels: Race Off,com.hutchgames.hotwheels,True
Epic Battle Simulator 2,com.rappidstudios.simulatorbattlephysics,True
FULL METAL MONSTERS,com.azurgames.dinosaurs,False
Flip Master,com.motionvolt.flipbounce,True
Stack Jump,io.voodoo.stackjump,True
Chess,com.jetstartgames.chess,True
Paint.ly Color by Number - Fun Coloring Art Book,com.color.by.number.paint.ly.pixel.art,True
Piano Free - Keyboard with Magic Tiles Music Games,com.gismart.realpianofree,True
Traffic Run!,com.geishatokyo.trafficrun,False
Candy Crush Soda Saga,com.king.candycrushsodasaga,True
Smart Puzzles Collection,com.pixign.smart.puzzles,True
Sniper Arena: PvP Army Shooter,com.nordcurrent.sniperarena,True
Color Hockey,com.gameone.colorhockey.free,True
World Series of Poker – WSOP Free Texas Holdem,com.playtika.wsop.gp,True
Winning Slots™ - Free Vegas Casino Jackpot Slots,slots.machine.winning.android,True
Plague Inc.,com.miniclip.plagueinc,True
Barbie Dreamhouse Adventures,com.budgestudios.googleplay.BarbieDreamhouse,True
Ice Crush 2019 - A new Puzzle Matching Adventure,com.kudo.icecrush,True
Magic Twist: Twister Music Ball Game,com.amanotes.pamamagictwist,True
Sonic Forces,com.sega.sprint,True
Draw In,com.supertapx.drawin,True
PJ Masks: Moonlight Heroes,com.pjmasks.moonlightheroes,True
Rope Hero: Vice Town,com.mgc.RopeHero.ViceTown,True
Chapters: Interactive Stories,com.mars.avgchapters,True
Knock Balls,com.ohmgames.chambouletout,True
Sonic Dash 2: Sonic Boom,com.sega.sonicboomandroid,True
Racing in Car 2,com.ffgames.racingincar2,True
Pixel Gun 3D: Shooting games & Battle Royale,com.pixel.gun3d,True
Plants vs. Zombies™ 2 Free,com.ea.game.pvz2_na,False
Run,com.kongregate.mobile.run.google,True
Armed Heist: Ultimate Third Person Shooting Game,com.sozap.badmen,True
Turbo Dismount™,com.secretexit.turbodismount,True
MARVEL Strike Force,com.foxnextgames.m3,True
Real Racing 3,com.ea.games.r3_na,False
Stickman Warriors: Fighter Street,com.premiumtimes.stickwarriors,False
Kawaii Kitchen,com.platonicgames.kawaiikitchen,True
Knife Hit,com.ketchapp.knifehit,True
Asphalt 8: Airborne,com.gameloft.android.ANMP.GloftA8HM,True
Helix Crush,com.amanotes.pamahelixtiles,True
Among Us,com.innersloth.spacemafia,True
MORTAL KOMBAT,com.wb.goog.mkx,True
BEYBLADE BURST app,com.hasbro.beybladesenterprise,True
Millionaire Trivia: Who Wants To Be a Millionaire?,com.sonypicturestelevision.millionaire,True
June's Journey - Hidden Objects,net.wooga.junes_journey_hidden_object_mystery_game,True
Annoying Orange Splatter Up!,com.thrusterapps.splatterupfree,True
"Bible Coloring - Paint by Number, Free Bible Games",holy.bible.biblegame.bibleverse.color.by.number.colorbynumber.paint.pixel.art,True
Head Ball 2,com.masomo.headball2,True
Geometry Dash World,com.robtopx.geometrydashworld,True
PAC-MAN: Ralph Breaks the Maze,com.bandainamcoent.google.pacralph,True
Avakin Life - 3D Virtual World,com.lockwoodpublishing.avakinlife,True
Solitaire TriPeaks: Play Free Solitaire Card Games,com.gsn.android.tripeaks,True
Caesars Slots: Free Slot Machines and Casino Games,com.playtika.caesarscasino,True
"Cooking Craze: Crazy, Fast Restaurant Kitchen Game",com.bigfishgames.cookingcrazegooglef2p,True
Jungle Animal Hair Salon 2 - Tropical Beauty Salon,com.tutotoons.app.jungleanimalhairsalon2.free,True
Twisty Road!,com.PupInteractive.TwistyRoad,True
Mazes & More,com.leodesol.games.classic.maze.labyrinth,True
Army Men Strike,com.hts.ams,True
Jackpot Party Casino: Slot Machines & Casino Games,com.williamsinteractive.jackpotparty,True
Bricks Ball Crusher,com.iposedon.bricksbreakerballs,True
Madden NFL Overdrive Football,com.ea.game.maddenmobile15_row,True
Spades Plus,net.peakgames.mobile.spades.android,True
Party Popteenies Surprise - Rainbow Pop Fiesta,com.tutotoons.app.partypopteeniessurprise.free,False
Space Shooter: Galaxy Attack,com.game.space.shooter2,True
Swing Star,com.swingman.game,True
Heads Up!,com.wb.headsup,True
War Robots,com.pixonic.wwr,True
MLB 9 Innings 19,com.com2us.ninepb3d.normal.freefull.google.global.android.common,True
Huuuge Casino Slots - Play Free Slot Machines,com.huuuge.casino.slots,True
Standoff 2,com.axlebolt.standoff2,True
Angry Birds Classic,com.rovio.angrybirds,True
Idle Farming Empire - Fun Free Farm Game,com.futureplay.boots,True
The Sims™ FreePlay,com.ea.games.simsfreeplay_na,True
Fun Run 3 - Multiplayer Games,com.dirtybit.fra,True
Stick War: Legacy,com.maxgames.stickwarlegacy,True
Puzzle Page,com.appynation.puzzlepage,True
Hustle Castle: Fantasy Kingdom,com.my.hc.rpg.kingdom.simulator,True
Final Fantasy XV: A New Empire,com.epicactiononline.ffxv.ane,True
DRAGON BALL LEGENDS,com.bandainamcoent.dblegends_ww,True
Spider Solitaire,com.mobilityware.spider,True
Family Feud® Live!,com.umi.feudlive,False
Looney Tunes™ World of Mayhem - Action RPG,com.aqupepgames.projectpepe,True
Drive Ahead!,com.dodreams.driveahead,True
Slices,com.mnightt.slices,True
Solitaire - Grand Harvest - Tripeaks,net.supertreat.solitaire,True
Spades Royale - Card Game,com.bbumgames.spadesroyale,True
Hidden City: Hidden Object Adventure,com.g5e.hiddencity.android,True
Rise of Kingdoms: Lost Crusade,com.lilithgame.roc.gp,True
Bubble Shooter Genies,com.linkdesks.bubblegames.bubbleshooter,True
Gacha Studio (Anime Dress Up),air.com.lunime.gachastudio,True
Fishing Clash: Catching Fish Game. Bass Hunting 3D,com.tensquaregames.letsfish2,True
"Pictoword: Fun Word Games, Offline Word Brain Game",com.kooapps.pictowordandroid,True
Cartoon Network Arcade,com.turner.cnplay,False
Left to Survive: Zombie Shooter Survival,com.glu.zbs,True
Word Cross,com.wordgame.puzzle.board.en,True
Ultimate Car Driving Simulator,com.sir.racing.ultimatecardrivingsimulator,True
Double Win Casino Slots - Free Vegas Casino Games,com.huge.slots.casino.vegas.android.avidly,True
My Talking Hank,com.outfit7.mytalkinghank,True
FRAG Pro Shooter,com.ohbibi.fps,True
Bendy in Nightmare Run,com.jds.binr,True
Pop Color   Coloring Pages,com.relax.coloring.games.color.by.number.colourpop,True
Bingo Blitz™️ - Bingo Games,air.com.buffalo_studios.newflashbingo,True
Tower Color,com.nbstudio.towercolor,True
Operate Now: Animal Hospital,com.spilgames.operatenow.animal.hospital,True
Brick Breaker Star: Space King,com.lt.latte.brick,True
Quick Hit Casino Slots - Free Slot Machines Games,com.ballytechnologies.quickhitslots,True
Super High School Bus Driving Simulator 3D - 2019,com.games2win.superschooldriver,True
Football Strike - Multiplayer Soccer,com.miniclip.footballstrike,True
Panda Pop! Free Bubble Shooter Saga Game,com.sgn.pandapop.gp,True
Critical Sniper Shooting- New modern gun fire game,com.cardriver.cityacademy,True
Rocket Royale,com.onetongames.rocketroyale,True
Billionaire Casino™ Slots 777 - Free Vegas Games,com.huuuge.casino.texas,True
Cooking Madness - A Chef's Restaurant Games,com.biglime.cookingmadness,True
Solitaire Card Games Free,com.Nightingale.Solitaire.Card.Games.Free,True
Ben 10: Alien Experience,com.heliosinteractive.ben10,False
FIFA Soccer,com.ea.gp.fifamobile,True
Super Brawl Universe,com.mtvn.superbrawlapp,True
City Gangs: San Andreas,com.azurgames.citygangs,True
DRAGON BALL Z DOKKAN BATTLE,com.bandainamcogames.dbzdokkanww,True
Mr Gun,com.ketchapp.mrgun,True
Flip Diving,com.motionvolt.flipdiving,True
Solitaire,com.mobilityware.solitaire,True
Battlelands Royale,com.futureplay.battleground,True
Uphill Rush Water Park Racing,com.spilgames.UphillRush,True
Toy Brick Crush - Addictive Puzzle Matching Game,com.toybrickcrush.casual.avidly,True
AdVenture Communist,com.kongregate.mobile.adventurecommunist.google,True
Modern Strike Online: PRO FPS,com.gamedevltd.modernstrike,True
Hollo Ball,com.russellraymond.holloball,False
Subway Princess Runner,com.rioo.runnersubway,True
Idle Evil — Clicker Simulator,com.evilclicker.evilclicker,True
World War Rising,com.mobilewaronline.wwr,True
Football Field Kick,com.Bingo.Football,False
MuzArcade,com.musicpoweredgames.muzarcade,False
Bubble Shooter,game.bubble.shooter.dragon.pop,True
Twinkle - Unicorn Cat Princess,com.cuteandtinybabygames.twinkleunicorncatprincess.free,False
Modern Combat 5: eSports FPS,com.gameloft.android.ANMP.GloftM5HM,True
AdVenture Capitalist,com.kongregate.mobile.adventurecapitalist.google,True
Pirate Kings™️,com.jellybtn.cashkingmobile,True
LEGO® NINJAGO®: Ride Ninja,com.lego.ninjago.rideninja,True
Classic Slots: Free Casino games & Slot machines,com.aaagame.aaacasino,True
Talking Tom Cat,com.outfit7.talkingtom,True
Bouncemasters!,com.playgendary.sportmasters,True
CATS: Crash Arena Turbo Stars,com.zeptolab.cats.google,True
Glow Hockey,com.natenai.glowhockey,True
Asphalt 9: Legends - 2019's Action Car Racing Game,com.gameloft.android.ANMP.GloftA9HM,True
ABC Kids - Tracing & Phonics,com.rvappstudios.abc_kids_toddler_tracing_phonics,True
Best Sniper Legacy: Dino Hunt & Shooter 3D,com.tbegames.and.best_sniper_shooting,True
Traffic Rider,com.skgames.trafficrider,True
Wordscapes In Bloom,com.peoplefun.wordflowers,True
Dumb Ways to Die 2: The Games,air.au.com.metro.DumbWaysToDie2,True
Candy Smash Mania,com.candysmashmania.sweetcrush.free,True
Rebel Inc.,com.ndemiccreations.rebelinc,True
Klondike Adventures,com.vizorapps.klondike,True
Hidden Hotel,com.whaleapp.hiddenhotel,True
Love Sick: Interactive Stories,com.swagmasha.genres,True
Baby Panda's Supermarket,com.sinyee.babybus.shopping,True
Rolly Vortex,com.bdj.vortexDroid,True
My Singing Monsters,com.bigbluebubble.singingmonsters.full,True
Earn to Die 2,com.notdoppler.earntodie2,True
Word Journey - New Crossword Puzzle,com.word.journey.crossword,True
Geometry Dash Meltdown,com.robtopx.geometrydashmeltdown,True
Big Big Baller,com.supertapx.bigbigballer,True
Easy Drum Machine - Beat Machine & Drum Maker,easy.drum.pad.electro.kit.beat.machine.maker,True
Sonic the Hedgehog™ Classic,com.sega.sonic1px,True
Sniper Strike – FPS 3D Shooting Game,com.mgs.sniper1,True
Gachaverse (RPG & Anime Dress Up),air.com.lunime.gachaverse,True
Guns of Boom - Online PvP Action,com.gameinsight.gobandroid,True
American Block Sniper Survival,com.topgamestudio.americanblocksnipersurvival,True
Slidey®: Block Puzzle,com.mavis.slidey,True
Disney Heroes: Battle Mode,com.perblue.disneyheroes,True
Block Puzzle: Star Finder,com.bitmango.go.blockpuzzlestarfinder,True
Cover Fire: offline shooting games,com.generagames.resistance,True
Cut the Rope FULL FREE,com.zeptolab.ctr.ads,True
Mahjong,mahjong.games.mahjong.classic.free,True
Monster Trucks Game for Kids 2,com.razmobi.monstertrucks2,True
Criminal Case,com.prettysimple.criminalcaseandroid,True
"Cash, Inc. Money Clicker Game & Business Adventure",com.alegrium.cong2,True
Disney Crossy Road,com.disney.disneycrossyroad_goo,True
Scatter Slots - Free Casino Slot Machines Online,com.murka.scatterslots,True
Piano Games - Free Music Piano Challenge 2019,com.musicheroesrevenge.pianochallenge2,True
King of Avalon: Dragon Warfare,com.funplus.kingofavalon,True
Bingo Bash: Online Slots & Bingo Games Free By GSN,air.com.bitrhymes.bingo,True
KUBOOM,com.Nobodyshot.kuboom,True
Bingo Party - Free Bingo Games,com.bingo.tour.party.crazy.free,True
Five Nights at Freddy's 2 Demo,com.scottgames.fnaf2demo,True
Scary Teacher 3D,com.zakg.scaryteacher.hellgame,True
Toca Life: World,com.tocaboca.tocalifeworld,True
Jewel Crush™ - Jewels & Gems Match 3 Legend,com.lyoomatch.jewelscrush.princessadventure,True
Bounce Blast,pl.neatware.thejumpy,True
Word Trip,in.playsimple.wordtrip,True
Shoot Hunter-Gun Killer,com.ray3d.shootsniper,True
Sudoku - Free Classic Sudoku Puzzles,easy.sudoku.puzzle.solver.free,True
Rider,com.ketchapp.rider,True
Tiny Cars: Fast Game,com.town.tinycars,True
Design My Room,com.langqi.myshoppingmall,True
Ultimate Motorcycle Simulator,com.sir.racing.ultimatemotorcyclesimulator,True
Bonbon Blast,com.wantgame.mmlite,False
"Good Pizza, Great Pizza",com.tapblaze.pizzabusiness,True
Beat the Boss 4,com.gamehivecorp.beattheboss4,True
"GSN Casino: Play casino games- slots, poker, bingo",com.gsn.android.casino,True
Dance Clash: Ballet vs Hip Hop,com.cocoplay.dancetosuccess,True
World on Fire,com.camelgames.wof,True
Troll Face Quest Horror 2: 🎃Halloween Special🎃,air.com.spilgames.trollfacequesthorror2.scary.adventure,True
Snow Drift,com.snow.drift,True
Mobile Legends: Bang Bang,com.mobile.legends,True
Golf Hit,com.Snow.Golf,True
Spinner.io,com.suji.spinner,True
Coin Dozer - Free Prizes,com.leftover.CoinDozer,True
